Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
STAU1,1.16602939851098e-06,-0.072747527,0.155,0.214,0.01959046
SSBP1,1.18126447637014e-06,-0.153908302,0.315,0.422,0.019846424
CBFA2T2,1.19366600043094e-06,-0.022545842,0.07,0.103,0.020054782
RBBP6,1.20832117602495e-06,-0.007885163,0.373,0.452,0.020301004
RPL22L1,1.2111958299025e-06,-0.259227132,0.35,0.464,0.020349301
N4BP2L2,1.23058413322702e-06,0.139807388,0.516,0.547,0.020675044
MED10,1.24041686382109e-06,-0.077494103,0.361,0.456,0.020840244
EMC4,1.25929075660974e-06,-0.112395343,0.226,0.313,0.021157344
RAB10,1.27735069938906e-06,0.031085464,0.17,0.207,0.021460769
HSPA1B,1.296035627267e-06,0.392746042,0.081,0.047,0.021774695
NDUFA11,1.32201661690366e-06,-0.031797664,0.491,0.577,0.022211201
MRFAP1L1,1.33484061401455e-06,-0.116587801,0.164,0.239,0.022426657
PSMA7,1.33486614778133e-06,0.146874622,0.598,0.611,0.022427086
TTC14,1.35181569770236e-06,-0.024784513,0.202,0.26,0.022711856
PRDX1,1.36129247988581e-06,-0.195363517,0.258,0.364,0.022871075
SECISBP2L,1.3744487883891e-06,0.020582717,0.141,0.173,0.023092114
OPTN,1.38607678888794e-06,0.026163274,0.304,0.355,0.023287476
ATP6V0B,1.3861860365672e-06,-0.094486714,0.288,0.382,0.023289312
SCNM1,1.41017865382472e-06,-0.053285272,0.133,0.188,0.023692412
S100A6,1.42789860376431e-06,0.105859722,0.928,0.955,0.023990124
TUBA1C,1.4412402240985e-06,-0.220806878,0.083,0.159,0.024214277
LUC7L3,1.48521713851833e-06,-0.117443122,0.318,0.412,0.024953133
CMPK1,1.48528068238507e-06,-0.09869394,0.325,0.419,0.024954201
HNRNPA2B1,1.49361957847112e-06,-0.003006797,0.844,0.912,0.025094303
C4orf3,1.52008412711287e-06,-0.228270904,0.338,0.459,0.025538933
COX19,1.52869833949446e-06,-0.13841546,0.104,0.166,0.025683661
SNRPG,1.53724898346766e-06,-0.238798412,0.238,0.345,0.02582732
UHRF1BP1L,1.56085048861415e-06,0.021826142,0.065,0.088,0.026223849
RPN2,1.58959941563176e-06,0.011893278,0.376,0.444,0.02670686
TRA2B,1.59094003649619e-06,-0.009712496,0.289,0.357,0.026729384
PRMT1,1.61490516346314e-06,-0.117944189,0.217,0.296,0.027132022
