Supplementary Data 7. Differential gene expression between clone #1 and clone #2 in Table 1,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Diff
SDF4,0.622413732,-0.040059659,0.322,0.281,1,-0.041
BAD,0.62247599,-0.295263709,0.098,0.106,1,0.008
HPS1,0.622546155,-0.09043688,0.273,0.241,1,-0.032
RNF11,0.623856467,-0.008889076,0.117,0.106,1,-0.011
MYCBP2,0.623997703,-0.21774605,0.288,0.288,1,0
UQCRB,0.624182408,-0.046818514,0.758,0.71,1,-0.048
KRIT1,0.62452643,-0.056492082,0.102,0.09,1,-0.012
PSMB7,0.624547499,-0.310285351,0.163,0.164,1,0.001
DGUOK,0.624870517,-0.185132906,0.288,0.283,1,-0.005
TMEM258,0.624933908,-0.103819827,0.538,0.519,1,-0.019
MRPL3,0.625393562,-0.047244379,0.114,0.099,1,-0.015
DEF6,0.625764537,-0.089813558,0.311,0.314,1,0.003
PAPOLA,0.625790998,-0.206235791,0.303,0.297,1,-0.006
LINC00623,0.625911258,-0.244161508,0.102,0.108,1,0.006
ELOVL1,0.626109605,-0.055981144,0.197,0.174,1,-0.023
TRMT10C,0.626135899,0.070890931,0.125,0.113,1,-0.012
CERS2,0.626805251,0.074729755,0.216,0.198,1,-0.018
TAF6,0.626924761,-0.009708044,0.117,0.104,1,-0.013
RNASEH2B,0.62739727,-0.058535295,0.216,0.192,1,-0.024
MFSD10,0.627641831,-0.084674604,0.379,0.33,1,-0.049
PUM3,0.62870226,-0.404642291,0.106,0.112,1,0.006
NAPRT,0.628868712,-0.076509039,0.102,0.09,1,-0.012
ATRAID,0.629087128,-0.090097132,0.322,0.284,1,-0.038
ST6GAL1,0.629664142,0.048974248,0.182,0.164,1,-0.018
UBE2V1,0.629764402,-0.075512407,0.485,0.469,1,-0.016
ZCCHC7,0.630044139,-0.370286898,0.125,0.129,1,0.004
PPIE,0.630277577,-0.044962595,0.114,0.1,1,-0.014
MIR4435-2HG,0.630412194,-0.337911567,0.133,0.139,1,0.006
MRPL22,0.630541644,-0.012910833,0.11,0.098,1,-0.012
ARHGEF2,0.63125918,-0.000258911,0.159,0.145,1,-0.014
SEPTIN1,0.631649481,-0.050828962,0.519,0.459,1,-0.06
LRBA,0.631828413,-0.185046489,0.178,0.157,1,-0.021
SAR1B,0.632300307,-0.006838099,0.114,0.101,1,-0.013
TRAF3IP3,0.632482359,-0.026000232,0.602,0.536,1,-0.066
BUD31,0.632617495,-0.225615887,0.223,0.224,1,0.001
NCOR2,0.63267368,-0.274192692,0.129,0.113,1,-0.016
SLC35A4,0.632685508,-0.063486064,0.114,0.101,1,-0.013
HMGN1,0.633102654,0.002358741,0.451,0.424,1,-0.027
ZNFX1,0.633235762,-0.020187107,0.167,0.149,1,-0.018
PSMA1,0.633913193,-0.007862416,0.326,0.295,1,-0.031
ARFGAP2,0.634095922,0.049845599,0.182,0.163,1,-0.019
COX7A2L,0.634378556,-0.143291004,0.341,0.331,1,-0.01
DDX46,0.634525039,0.062551959,0.402,0.368,1,-0.034
RAB22A,0.634749411,-0.152590269,0.17,0.179,1,0.009
FAM117A,0.634942517,-0.215686291,0.326,0.317,1,-0.009
GCH1,0.635574677,-0.124970899,0.095,0.102,1,0.007
ITPA,0.636325818,-0.108770752,0.144,0.153,1,0.009
WNK1,0.636902642,-0.323805739,0.292,0.278,1,-0.014
LRIF1,0.636987276,0.069170425,0.136,0.125,1,-0.011
SPEN,0.636989882,0.17635027,0.174,0.159,1,-0.015
CTDSP2,0.636990969,-0.419090731,0.133,0.136,1,0.003
NCOA3,0.637520541,-0.337405261,0.095,0.101,1,0.006
SF3B4,0.638922781,-0.209687373,0.239,0.235,1,-0.004
RAB4B,0.639029819,-0.168153439,0.201,0.209,1,0.008
RHBDF2,0.639322325,-0.132501434,0.133,0.14,1,0.007
PLD3,0.639454029,-0.327128887,0.182,0.183,1,0.001
PKM,0.639788779,-0.009446235,0.496,0.439,1,-0.057
CTCF,0.639881095,-0.090853952,0.239,0.213,1,-0.026
NBR1,0.641565346,0.037860041,0.125,0.111,1,-0.014
MKRN1,0.641799646,-0.044719949,0.189,0.17,1,-0.019
IFITM3,0.641989319,0.09087131,0.485,0.448,1,-0.037
TSNAX,0.642132619,-0.320106488,0.117,0.124,1,0.007
SAP18,0.642215032,-0.060998913,0.485,0.488,1,0.003
TIMMDC1,0.643135528,-0.331237621,0.095,0.102,1,0.007
RTL8C,0.643735342,-0.246952241,0.121,0.127,1,0.006
ARIH1,0.643945429,-0.037491598,0.235,0.214,1,-0.021
MBTPS1,0.64438903,-0.199408362,0.106,0.114,1,0.008
BAG6,0.644526359,0.071367983,0.205,0.189,1,-0.016
RIC8A,0.644834047,-0.106684817,0.159,0.14,1,-0.019
GOLGA7,0.6449358,-0.091919142,0.303,0.271,1,-0.032
BLOC1S6,0.644951283,-0.064681849,0.152,0.134,1,-0.018
SMARCC2,0.644956653,0.005277909,0.235,0.214,1,-0.021
TCTA,0.644980985,-0.549778221,0.098,0.102,1,0.004
SAFB,0.645216881,-0.175316582,0.163,0.169,1,0.006
CHORDC1,0.645263178,-0.001274971,0.155,0.14,1,-0.015
STAT6,0.64584435,0.076082936,0.148,0.134,1,-0.014
RUFY1,0.646147761,-0.006464233,0.102,0.091,1,-0.011
PTPN1,0.647151853,-0.147566314,0.254,0.224,1,-0.03
MFNG,0.647321239,0.008801886,0.295,0.266,1,-0.029
TMPO,0.647791706,-0.14279612,0.242,0.216,1,-0.026
CYTH4,0.647904671,-0.06508117,0.223,0.226,1,0.003
LSM7,0.648149037,-0.028404713,0.496,0.446,1,-0.05
ZFAND3,0.648924314,-0.151715211,0.167,0.171,1,0.004
PDLIM2,0.650273172,-0.18802362,0.235,0.234,1,-0.001
PGLS,0.650996945,-0.305933662,0.277,0.266,1,-0.011
VAV3,0.651066161,-0.147022041,0.197,0.174,1,-0.023
MAN1A1,0.651928293,-0.011024982,0.106,0.113,1,0.007
PBRM1,0.652116553,-0.022319875,0.17,0.155,1,-0.015
STAT5B,0.652742271,-0.281147692,0.14,0.145,1,0.005
SRP54,0.652742688,-0.064756659,0.152,0.137,1,-0.015
TGOLN2,0.652976628,-0.209026856,0.379,0.361,1,-0.018
SNRPA1,0.653061948,-0.051315343,0.223,0.202,1,-0.021
SEC61G,0.653605699,0.008460616,0.417,0.376,1,-0.041
CNPY2,0.653752012,-0.051774139,0.273,0.246,1,-0.027
FGD5-AS1,0.654539315,-0.310965615,0.114,0.121,1,0.007
EFCAB14,0.654673739,-0.175116129,0.231,0.234,1,0.003
CLASRP,0.656427235,-0.157645415,0.106,0.093,1,-0.013
ZNF639,0.657127205,-0.151918954,0.152,0.135,1,-0.017
RASGRP1,0.657396492,-0.106021037,0.242,0.244,1,0.002
RBM14,0.657931037,-0.291776655,0.106,0.113,1,0.007
NUTM2B-AS1,0.658088296,-0.362331535,0.182,0.179,1,-0.003
ANKRD11,0.658241833,-0.127072393,0.402,0.354,1,-0.048
P4HTM,0.658723938,-0.104496471,0.106,0.095,1,-0.011
RLF,0.659477695,-0.291386056,0.095,0.101,1,0.006
HCFC1,0.659699402,0.038004951,0.102,0.091,1,-0.011
TOP1,0.659747099,-0.178141545,0.178,0.187,1,0.009
REST,0.659811645,-0.172091586,0.326,0.319,1,-0.007
VCP,0.660740465,-0.048066827,0.447,0.427,1,-0.02
C1orf35,0.661489975,0.095688348,0.11,0.101,1,-0.009
MARCH2,0.662676925,-0.014975769,0.129,0.116,1,-0.013
MFF,0.662918526,-0.010181824,0.208,0.187,1,-0.021
MIAT,0.662925301,-0.349958424,0.14,0.144,1,0.004
IFNAR2,0.663824556,0.061033248,0.117,0.106,1,-0.011
DYNC1LI2,0.664149714,0.139088883,0.102,0.092,1,-0.01
RNF13,0.664196364,0.014923889,0.117,0.107,1,-0.01
HSPA1A,0.664685883,-0.028028004,0.114,0.104,1,-0.01
TMEM248,0.66484104,-0.081320093,0.231,0.206,1,-0.025
ZC3H18,0.664985538,-0.140270761,0.133,0.119,1,-0.014
PIK3CG,0.664996626,-0.058410482,0.106,0.095,1,-0.011
API5,0.665555445,-0.059704173,0.163,0.146,1,-0.017
TRAT1,0.665742663,0.024501596,0.114,0.103,1,-0.011
ING4,0.666068845,-0.019275351,0.11,0.098,1,-0.012
NDUFS2,0.66672403,0.033773526,0.208,0.192,1,-0.016
ICAM2,0.666825036,-0.038667949,0.239,0.214,1,-0.025
NORAD,0.667050513,0.01705064,0.178,0.16,1,-0.018
CDC123,0.667682584,-0.087098969,0.17,0.151,1,-0.019
TMEM250,0.667750342,-0.231757728,0.106,0.113,1,0.007
RAD21,0.667995535,-0.119408926,0.42,0.408,1,-0.012
TM9SF3,0.668215057,0.039146663,0.201,0.184,1,-0.017
PSMF1,0.668347558,0.016991034,0.322,0.284,1,-0.038
CXorf38,0.668390016,-0.11240876,0.102,0.091,1,-0.011
TRIM44,0.668907636,-0.358751968,0.174,0.173,1,-0.001
IAH1,0.669146358,-0.139419939,0.159,0.142,1,-0.017
CACUL1,0.669364093,-0.421774481,0.129,0.132,1,0.003
PHF20L1,0.669667427,-0.044069475,0.133,0.139,1,0.006
TPGS1,0.669819278,-0.077556636,0.159,0.144,1,-0.015
BMI1,0.669993421,0.041384525,0.208,0.185,1,-0.023
ZNF451,0.671084744,-0.067044538,0.114,0.103,1,-0.011
RUNX1,0.671410083,-0.219524126,0.14,0.145,1,0.005
ANP32B,0.671541217,-0.064156843,0.538,0.5,1,-0.038
ZFYVE28,0.671671502,-0.252390542,0.129,0.135,1,0.006
CBX4,0.671754335,-0.330349159,0.186,0.185,1,-0.001
ATF1,0.672217175,-0.062569906,0.117,0.105,1,-0.012
WDR83OS,0.672511971,-0.111661847,0.515,0.489,1,-0.026
HIF1A,0.673503688,-0.118021252,0.125,0.112,1,-0.013
HSPA9,0.673642321,-0.202112042,0.254,0.252,1,-0.002
AFF4,0.674156098,-0.127886707,0.223,0.229,1,0.006
GNAS,0.674816344,-0.100537725,0.754,0.709,1,-0.045
IL12RB1,0.67511339,-0.192107594,0.186,0.188,1,0.002
SP100,0.675118072,-0.000396133,0.432,0.399,1,-0.033
KMT2B,0.675324359,-0.07215127,0.133,0.12,1,-0.013
DNAJA2,0.675769201,-0.152215918,0.197,0.203,1,0.006
OXA1L,0.675770052,-0.055699061,0.277,0.252,1,-0.025
ALDOA,0.675835014,-0.058651175,0.481,0.422,1,-0.059
CEP57,0.675904421,0.018045677,0.201,0.183,1,-0.018
R3HDM2,0.676076069,-0.254904908,0.265,0.261,1,-0.004
CAPZA1,0.676285052,-0.157228208,0.292,0.286,1,-0.006
NPRL3,0.676299118,0.005633745,0.133,0.121,1,-0.012
CTC1,0.676605354,-0.010363876,0.106,0.095,1,-0.011
RIN3,0.677355215,0.110155469,0.11,0.098,1,-0.012
RSU1,0.6774484,-0.21672538,0.182,0.182,1,0
ERP44,0.67755156,-0.212596577,0.201,0.201,1,0
NAPA,0.678251799,0.024686678,0.33,0.3,1,-0.03
MRPL51,0.678287308,-0.019270226,0.227,0.208,1,-0.019
LNPEP,0.678558195,-0.023868862,0.367,0.328,1,-0.039
VEZF1,0.678596947,-0.17386906,0.178,0.183,1,0.005
PANK2,0.678687529,-0.170094172,0.186,0.19,1,0.004
MOB2,0.679159865,-0.021381336,0.246,0.226,1,-0.02
GID8,0.679186949,-0.416447505,0.129,0.131,1,0.002
ARPC5L,0.679280516,-0.192249964,0.447,0.408,1,-0.039
LIPA,0.679749661,-0.449295105,0.129,0.13,1,0.001
ARHGAP27,0.680022248,-0.174899746,0.102,0.091,1,-0.011
SNRPA,0.680318658,-0.199099994,0.364,0.341,1,-0.023
MRPL44,0.680971072,-0.181897868,0.106,0.113,1,0.007
NLRC5,0.681117451,-0.202427899,0.258,0.253,1,-0.005
DBF4,0.681335461,-0.181653248,0.125,0.112,1,-0.013
BABAM1,0.681347513,-0.235120602,0.197,0.2,1,0.003
CCT7,0.681505394,-0.105603599,0.371,0.321,1,-0.05
GPR174,0.681530813,-0.319568329,0.167,0.168,1,0.001
HADHA,0.681569026,-0.11932428,0.352,0.305,1,-0.047
RHOF,0.682387309,-0.079698389,0.42,0.404,1,-0.016
MLF2,0.682510589,-0.084112747,0.326,0.291,1,-0.035
UBR5,0.683040231,-0.391265086,0.106,0.11,1,0.004
DENND4C,0.683083531,-0.120079715,0.144,0.152,1,0.008
KIDINS220,0.68313274,-0.062591527,0.117,0.106,1,-0.011
DEK,0.683291115,-0.026615384,0.417,0.408,1,-0.009
PCBP1,0.683389657,-0.076571362,0.697,0.672,1,-0.025
STYX,0.683703928,-0.130767018,0.106,0.114,1,0.008
LMAN1,0.683813458,-0.107031566,0.261,0.232,1,-0.029
MCRS1,0.684390807,-0.056683567,0.155,0.142,1,-0.013
NDUFA1,0.684405423,-0.099748887,0.598,0.548,1,-0.05
MGMT,0.684823844,-0.262765895,0.163,0.167,1,0.004
ALOX5AP,0.684941265,-0.004342432,0.568,0.529,1,-0.039
IRF2,0.68573282,-0.148293789,0.227,0.205,1,-0.022
RPS6KB2,0.686772893,-0.294071821,0.193,0.193,1,0
PNISR,0.687140174,-0.014771111,0.538,0.487,1,-0.051
SRP9,0.687237622,-0.099603938,0.375,0.323,1,-0.052
DENR,0.687678645,-0.052035473,0.265,0.239,1,-0.026
CCNL2,0.688864373,-0.117307164,0.178,0.159,1,-0.019
PA2G4,0.689045071,0.018474778,0.39,0.353,1,-0.037
UBA2,0.689080238,-0.178244445,0.201,0.199,1,-0.002
SET,0.689603332,-0.047409911,0.674,0.637,1,-0.037
GLIPR2,0.689706704,-0.092984296,0.273,0.241,1,-0.032
AL133415.1,0.690053023,0.100755423,0.11,0.101,1,-0.009
PTPRJ,0.690598465,-0.090639674,0.197,0.203,1,0.006
DEXI,0.691051762,-0.232968389,0.095,0.1,1,0.005
PSMA6,0.691456079,-0.116245607,0.364,0.354,1,-0.01
KIAA2013,0.691927625,0.081368474,0.155,0.142,1,-0.013
OXLD1,0.694365427,-0.012311384,0.155,0.142,1,-0.013
DBNL,0.695007939,0.083687101,0.295,0.269,1,-0.026
RICTOR,0.695788982,-0.409253787,0.11,0.113,1,0.003
DDIT4,0.696000296,-0.071313668,0.25,0.227,1,-0.023
SPG21,0.696238399,-0.125099525,0.167,0.149,1,-0.018
SGSM3,0.696418315,0.139829109,0.106,0.098,1,-0.008
RBM8A,0.696860507,-0.135652,0.413,0.385,1,-0.028
ZNF655,0.697168334,-0.139588797,0.254,0.255,1,0.001
USP8,0.697204995,-0.381724702,0.136,0.138,1,0.002
COQ4,0.697489635,-0.006919653,0.155,0.142,1,-0.013
GLO1,0.698456542,-0.05484075,0.148,0.133,1,-0.015
AKT2,0.698476361,-0.207762434,0.114,0.118,1,0.004
ACTR1B,0.698738315,-0.289919606,0.152,0.155,1,0.003
MIER1,0.698851512,-0.219568643,0.277,0.272,1,-0.005
PAGR1,0.699186677,-0.183478215,0.121,0.127,1,0.006
TRNAU1AP,0.69923053,-0.301258269,0.117,0.122,1,0.005
LUC7L2,0.699429312,-0.199736256,0.273,0.266,1,-0.007
CSNK1A1,0.699444863,-0.048055469,0.322,0.289,1,-0.033
ITGAE,0.699647416,0.003182079,0.155,0.14,1,-0.015
GABPB1-AS1,0.699718884,-0.051427004,0.136,0.125,1,-0.011
PWP1,0.700929285,-0.21842287,0.174,0.175,1,0.001
NDEL1,0.702285528,-0.052392026,0.11,0.099,1,-0.011
HIST1H1D,0.70255063,-0.127173048,0.288,0.294,1,0.006
CLPTM1,0.70274346,-0.256800065,0.167,0.169,1,0.002
MNAT1,0.702953675,-0.077646448,0.125,0.131,1,0.006
UBE2L3,0.70324263,-0.041387164,0.352,0.323,1,-0.029
ZNF148,0.703689384,-0.133583144,0.167,0.171,1,0.004
TM2D1,0.70385368,-0.047519968,0.125,0.114,1,-0.011
KLHDC2,0.705167329,-0.215476562,0.163,0.167,1,0.004
SRA1,0.705988008,-0.100004684,0.152,0.137,1,-0.015
AKIRIN1,0.706081684,-0.040176957,0.186,0.167,1,-0.019
BTAF1,0.706276861,-0.125464822,0.129,0.117,1,-0.012
CSNK2A2,0.706525977,-0.155611701,0.114,0.102,1,-0.012
SH2B1,0.706526597,-0.074165926,0.102,0.092,1,-0.01
NGLY1,0.706600493,-0.099853589,0.148,0.151,1,0.003
RBMS1,0.707471708,0.002500794,0.303,0.275,1,-0.028
ANAPC5,0.70786077,-0.020892605,0.371,0.337,1,-0.034
SPAG9,0.707979761,-0.210269194,0.152,0.134,1,-0.018
PRPF40A,0.708714099,-0.14878459,0.265,0.262,1,-0.003
POLR1D,0.709075929,0.003471929,0.348,0.325,1,-0.023
SLTM,0.709829551,-0.007654071,0.33,0.302,1,-0.028
GLRX5,0.710044485,-0.241977503,0.197,0.194,1,-0.003
MAP2K7,0.710446022,0.010462553,0.114,0.103,1,-0.011
PSMA3-AS1,0.711754365,-0.091522603,0.148,0.134,1,-0.014
TRIP11,0.712151216,-0.12631288,0.186,0.166,1,-0.02
BAG5,0.712227543,-0.092193664,0.121,0.108,1,-0.013
HIKESHI,0.712680916,-0.060551934,0.17,0.157,1,-0.013
HSPA8,0.712832216,-0.037464809,0.852,0.849,1,-0.003
AMFR,0.713125375,-0.094345061,0.11,0.099,1,-0.011
C17orf49,0.713290854,0.01090764,0.311,0.289,1,-0.022
U2SURP,0.713460948,-0.040703345,0.314,0.313,1,-0.001
MRPL4,0.713481457,-0.193790616,0.178,0.158,1,-0.02
SDHC,0.713527856,-0.103678909,0.25,0.246,1,-0.004
WASHC3,0.713608384,-0.129608212,0.17,0.155,1,-0.015
ATP6V1H,0.714654474,-0.281911595,0.114,0.118,1,0.004
TAOK3,0.716428741,-0.165704194,0.322,0.307,1,-0.015
USP39,0.717279002,-0.145288124,0.125,0.113,1,-0.012
ADAM8,0.717484978,-0.033921111,0.205,0.188,1,-0.017
CRNKL1,0.71776742,-0.451545312,0.098,0.101,1,0.003
IFI16,0.718017534,-0.115633943,0.303,0.267,1,-0.036
PURA,0.718087792,-0.005045315,0.205,0.213,1,0.008
CYB5R4,0.718564267,-0.088319001,0.121,0.11,1,-0.011
BRD7,0.718752372,-0.086486316,0.242,0.243,1,0.001
NAA50,0.718787307,-0.136866297,0.201,0.18,1,-0.021
MRPL20,0.719574053,-0.043471172,0.231,0.21,1,-0.021
TBRG1,0.721498801,-0.089686362,0.333,0.295,1,-0.038
BOLA3,0.721658516,-0.014681091,0.133,0.137,1,0.004
CAPN7,0.721888878,-0.194335482,0.167,0.167,1,0
HSPH1,0.722247728,-0.329165877,0.11,0.113,1,0.003
NOLC1,0.722268443,-0.117397183,0.178,0.162,1,-0.016
RNF7,0.723016201,-0.057853631,0.345,0.307,1,-0.038
NUFIP2,0.723293173,-0.11881975,0.178,0.184,1,0.006
RNF6,0.723383313,0.006843155,0.117,0.108,1,-0.009
SHC1,0.723681272,-0.019424526,0.117,0.107,1,-0.01
TERF1,0.723695829,-0.376367291,0.106,0.108,1,0.002
ZNF683,0.723722446,0.156934716,0.265,0.258,1,-0.007
ARID4B,0.724230855,0.031579472,0.451,0.4,1,-0.051
CAND1,0.724880308,-0.212125608,0.117,0.123,1,0.006
INTS6,0.725038519,-0.02869655,0.193,0.179,1,-0.014
EEFSEC,0.725294809,-0.371003326,0.098,0.102,1,0.004
TRIM22,0.725817169,-0.086540595,0.326,0.29,1,-0.036
GSK3A,0.726866076,-0.185203209,0.167,0.169,1,0.002
BTN3A3,0.727396705,-0.036754146,0.189,0.173,1,-0.016
SLMAP,0.727823449,-0.087116846,0.114,0.103,1,-0.011
RPA2,0.728313686,-0.15761057,0.231,0.228,1,-0.003
COX4I1,0.728365726,0.007541541,0.947,0.937,1,-0.01
R3HCC1,0.729286197,-0.258561222,0.114,0.117,1,0.003
GLOD4,0.729507157,-0.178017235,0.174,0.175,1,0.001
ARHGEF3,0.730435789,-0.152768675,0.318,0.303,1,-0.015
PPP2R5E,0.730649407,-0.133752425,0.174,0.157,1,-0.017
ABHD12,0.730896075,-0.137258765,0.095,0.1,1,0.005
HLA-DRB1,0.731113953,-0.266345238,0.36,0.341,1,-0.019
AKAP9,0.731164467,-0.224203776,0.348,0.328,1,-0.02
TMEM222,0.731311333,-0.273703565,0.125,0.128,1,0.003
TRABD,0.731322201,-0.023547806,0.371,0.335,1,-0.036
C18orf32,0.731392053,-0.218668792,0.227,0.223,1,-0.004
LAIR1,0.731426005,-0.128959158,0.163,0.147,1,-0.016
RBX1,0.731584561,-0.136098163,0.273,0.269,1,-0.004
PARP10,0.731730834,-0.144055144,0.22,0.196,1,-0.024
NUDT16L1,0.731820009,0.046691028,0.167,0.156,1,-0.011
VSIR,0.731962945,-0.139128763,0.455,0.422,1,-0.033
TMEM256,0.732042474,-0.246413787,0.261,0.257,1,-0.004
YME1L1,0.732680318,-0.153709378,0.273,0.267,1,-0.006
TPRG1L,0.732721499,0.127251571,0.163,0.152,1,-0.011
CCSER2,0.732730903,-0.083888618,0.22,0.198,1,-0.022
PFDN1,0.732766985,-0.30071332,0.155,0.156,1,0.001
SERBP1,0.732805616,-0.055768335,0.508,0.442,1,-0.066
BUB3,0.73347125,-0.090940518,0.341,0.306,1,-0.035
ERVK3-1,0.733644681,-0.061500797,0.17,0.174,1,0.004
CDK13,0.733834897,-0.039717362,0.261,0.243,1,-0.018
TTC1,0.733870629,-0.268116925,0.148,0.149,1,0.001
DESI2,0.734023297,-0.141002577,0.102,0.092,1,-0.01
ZNF622,0.734158911,-0.113700851,0.102,0.094,1,-0.008
STXBP2,0.73421045,-0.049590507,0.258,0.234,1,-0.024
COG3,0.734331748,-0.081867688,0.17,0.155,1,-0.015
ZBTB24,0.734538838,-0.008625261,0.106,0.097,1,-0.009
BDP1,0.734582619,-0.049398687,0.277,0.25,1,-0.027
SHOC2,0.73496813,-0.162266834,0.17,0.172,1,0.002
RABEP1,0.735108113,-0.20393276,0.11,0.114,1,0.004
RBM3,0.735273491,-0.081997967,0.746,0.686,1,-0.06
TLK1,0.735648921,-0.309054187,0.155,0.158,1,0.003
TMCO1,0.73613469,0.040997278,0.239,0.221,1,-0.018
NECAP1,0.736219449,0.141491389,0.11,0.098,1,-0.012
STIM1,0.736704129,-0.096405736,0.167,0.151,1,-0.016
E2F4,0.737090662,-0.313934329,0.22,0.212,1,-0.008
RASSF5,0.737287227,-0.172735774,0.345,0.331,1,-0.014
JPX,0.737656719,-0.197448488,0.114,0.118,1,0.004
FGD3,0.737696243,-0.184998286,0.227,0.223,1,-0.004
APBB1IP,0.738374809,-0.008647827,0.606,0.537,1,-0.069
FDX1,0.738420378,-0.069810068,0.182,0.168,1,-0.014
ATP5F1C,0.73860488,0.030299451,0.333,0.307,1,-0.026
GCLM,0.739114857,-0.433079232,0.098,0.101,1,0.003
EHBP1L1,0.739325323,-0.037447674,0.136,0.125,1,-0.011
NONO,0.739808356,-0.226867667,0.367,0.345,1,-0.022
NUB1,0.739951479,-0.217731611,0.22,0.218,1,-0.002
ORMDL1,0.74090765,-0.11908112,0.208,0.211,1,0.003
CASP8,0.74147058,-0.058708442,0.405,0.373,1,-0.032
CRY1,0.742028297,-0.026341976,0.148,0.136,1,-0.012
RTN4,0.74230692,-0.169142976,0.246,0.246,1,0
RRAS2,0.742514937,0.105648813,0.136,0.126,1,-0.01
UBXN1,0.742615852,0.002250069,0.591,0.55,1,-0.041
SDHB,0.742879962,-0.088526876,0.167,0.153,1,-0.014
BRMS1,0.744088512,-0.134590598,0.159,0.146,1,-0.013
HINT2,0.744335474,-0.127373842,0.144,0.148,1,0.004
ITSN2,0.744466694,-0.027690539,0.269,0.248,1,-0.021
MED10,0.744762748,0.01945127,0.417,0.383,1,-0.034
SBF1,0.745405331,0.098794688,0.129,0.122,1,-0.007
UBL4A,0.745674846,-0.231010779,0.102,0.092,1,-0.01
DNMT1,0.745940378,-0.221425651,0.205,0.203,1,-0.002
KLRG1,0.746011185,-0.02187966,0.557,0.495,1,-0.062
SPCS3,0.746217381,-0.110297678,0.379,0.336,1,-0.043
SPSB3,0.746880994,-0.093947265,0.451,0.434,1,-0.017
BET1L,0.746962879,-0.233058226,0.11,0.098,1,-0.012
TSC22D4,0.747853268,-0.126305719,0.39,0.369,1,-0.021
RANGRF,0.747916024,-0.295626619,0.125,0.129,1,0.004
SFSWAP,0.747997039,-0.102387652,0.197,0.18,1,-0.017
PRKDC,0.748291698,-0.202571939,0.212,0.213,1,0.001
MLX,0.749069097,0.019384016,0.178,0.167,1,-0.011
IER3IP1,0.749803956,-0.095344805,0.212,0.193,1,-0.019
RAB21,0.750046073,-0.012071464,0.114,0.103,1,-0.011
DECR1,0.750717584,-0.242290024,0.182,0.18,1,-0.002
ATR,0.750787794,0.002148412,0.114,0.104,1,-0.01
KPNA1,0.751042608,-0.085034576,0.102,0.108,1,0.006
MTDH,0.75122295,-0.184418804,0.409,0.376,1,-0.033
PSMC6,0.751589119,-0.0667489,0.14,0.128,1,-0.012
PMM1,0.751748281,-0.350539633,0.11,0.112,1,0.002
CAMK2N1,0.752150976,-0.182091911,0.148,0.133,1,-0.015
DLST,0.75216071,-0.074245566,0.11,0.1,1,-0.01
SPG7,0.752615952,-0.122262495,0.144,0.131,1,-0.013
ABI1,0.752820665,-0.270381282,0.25,0.241,1,-0.009
SRPK1,0.753360403,-0.155404708,0.159,0.162,1,0.003
PNKP,0.75450669,-0.132948738,0.136,0.14,1,0.004
NOC2L,0.754578574,0.049595,0.121,0.114,1,-0.007
VMP1,0.754802528,0.030056596,0.144,0.134,1,-0.01
CXXC1,0.75524848,-0.219736704,0.121,0.109,1,-0.012
LMBRD1,0.755650769,-0.068526084,0.144,0.132,1,-0.012
ATXN10,0.756795607,0.086477109,0.117,0.109,1,-0.008
ATP5F1A,0.757349466,-0.064353542,0.409,0.404,1,-0.005
ATP5PF,0.757669487,-0.07298363,0.432,0.385,1,-0.047
AC008875.3,0.758275477,-0.123356093,0.205,0.206,1,0.001
SYNE2,0.758341849,-0.054266785,0.655,0.621,1,-0.034
SURF4,0.75922343,-0.104751347,0.269,0.246,1,-0.023
OSTM1,0.759341139,-0.092054187,0.155,0.143,1,-0.012
SUPT20H,0.759375679,-0.259090666,0.117,0.12,1,0.003
SZRD1,0.759423514,-0.169754979,0.246,0.224,1,-0.022
EMC4,0.759446126,-0.036164985,0.288,0.268,1,-0.02
ORMDL3,0.759930606,-0.161060852,0.133,0.12,1,-0.013
CSNK1D,0.760146527,-0.065250087,0.17,0.158,1,-0.012
CLTB,0.760249217,-0.16397735,0.235,0.233,1,-0.002
LRPAP1,0.760649971,-0.227015135,0.227,0.224,1,-0.003
HPS3,0.760654261,0.043223911,0.133,0.123,1,-0.01
EFR3A,0.760702276,-0.193767887,0.155,0.14,1,-0.015
GLT8D1,0.760761267,-0.082031298,0.102,0.094,1,-0.008
ZDHHC6,0.760986927,-0.060413182,0.11,0.114,1,0.004
KRT10,0.761226653,-0.066807391,0.527,0.471,1,-0.056
NMRK1,0.761280128,-0.140467664,0.148,0.148,1,0
TRIAP1,0.761401412,0.105195012,0.117,0.111,1,-0.006
MRPL47,0.761562992,-0.3885681,0.106,0.107,1,0.001
ZBTB20,0.761617671,0.015841942,0.125,0.115,1,-0.01
TSPAN14,0.762285636,-0.239948631,0.292,0.277,1,-0.015
NUP210,0.762385459,-0.215320134,0.223,0.219,1,-0.004
SIT1,0.762589524,-0.106519026,0.25,0.252,1,0.002
AGO3,0.762673604,-0.039631229,0.106,0.098,1,-0.008
VPS13C,0.762742656,-0.235159992,0.326,0.303,1,-0.023
PGK1,0.762787162,-0.091178086,0.527,0.487,1,-0.04
YY1,0.762932262,-0.137148908,0.307,0.299,1,-0.008
BECN1,0.763851857,-0.146959194,0.193,0.176,1,-0.017
