Supplementary Data 9. Gene expression in each cluster within cells expressing CD4,,,,,,,
gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
RGCC,4.33943077821392e-20,0.675087928,0.573,0.368,7.29067765047721e-16,3,RGCC
CHMP1B,5.66168547584469e-20,0.621233785,0.309,0.136,9.51219776796666e-16,3,CHMP1B
FTH1,7.0378672822297e-20,0.328959695,0.988,0.965,1.18243208208741e-15,3,FTH1
H2AFX,8.78032040007613e-20,0.425166465,0.258,0.09,1.47518163041679e-15,3,H2AFX
UBE2S,3.04381778800886e-19,0.51884571,0.381,0.187,5.11391826563369e-15,3,UBE2S
SARAF1,8.97758321715921e-19,0.307842242,0.955,0.903,1.50832375631492e-14,3,SARAF
H3F3B,1.58005251122357e-18,0.312584043,0.971,0.951,2.65464622410672e-14,3,H3F3B
AC020916.1,4.85109538230293e-18,0.590754797,0.268,0.118,8.15032535180714e-14,3,AC020916.1
BTG1,8.4549153544421e-18,0.299910573,0.959,0.947,1.42051032869982e-13,3,BTG1
DDIT4,2.22610998672464e-17,0.612874701,0.495,0.308,3.74008738869607e-13,3,DDIT4
SBDS,2.96463622873036e-17,0.465447104,0.61,0.412,4.98088532788988e-13,3,SBDS
TUBA1A,4.98879072698216e-17,0.448216216,0.713,0.521,8.38166730040273e-13,3,TUBA1A
TSC22D3,1.19262296448465e-16,0.371450878,0.915,0.862,2.00372584263067e-12,3,TSC22D3
SLC38A21,2.42288478101816e-15,0.420603123,0.435,0.254,4.07068872058861e-11,3,SLC38A2
PNRC1,7.94688164531109e-15,0.274210761,0.969,0.938,1.33515558522872e-10,3,PNRC1
CSRNP1,9.71814997705752e-15,0.465818335,0.338,0.175,1.63274637764543e-10,3,CSRNP1
SOCS31,1.8084795930231e-14,0.509372543,0.431,0.244,3.03842656423811e-10,3,SOCS3
SOCS1,1.88519403894504e-14,0.404102284,0.318,0.151,3.16731450483157e-10,3,SOCS1
SRSF7,1.24774963621525e-13,0.34145861,0.804,0.676,2.09634416380523e-09,3,SRSF7
HIST1H1D,1.73742688341183e-13,0.509389764,0.662,0.477,2.91905090682021e-09,3,HIST1H1D
CSKMT,4.40696446779059e-13,0.446220611,0.266,0.122,7.40414100233497e-09,3,CSKMT
TUBA1B,8.08196787044447e-13,0.380757928,0.625,0.428,1.35785142191337e-08,3,TUBA1B
PPP1R10,1.01424984064057e-12,0.352433166,0.365,0.203,1.70404115726023e-08,3,PPP1R10
PABPC11,1.54777180362629e-12,0.26875937,0.963,0.937,2.60041140727253e-08,3,PABPC1
AC245297.3,5.11991605208644e-12,0.381170766,0.262,0.127,8.60197095911042e-08,3,AC245297.3
DNAJA1,2.45656849861454e-11,0.392482372,0.47,0.311,4.1272807345223e-07,3,DNAJA1
ZFP36L2,4.31420447988677e-11,0.310766099,0.911,0.835,7.24829494665777e-07,3,ZFP36L2
EEF1B21,6.69491398416268e-11,0.278857216,0.955,0.92,1.12481249847917e-06,3,EEF1B2
DDX3X1,1.07175361436954e-10,0.348584814,0.431,0.288,1.80065324750226e-06,3,DDX3X
WSB1,4.68306980114362e-10,0.295151834,0.458,0.305,7.8680255729014e-06,3,WSB1
POLR2A,1.39411103002309e-09,0.369489967,0.371,0.23,2.34224594154179e-05,3,POLR2A
AC087239.1,1.55654909390829e-09,0.328069251,0.28,0.151,2.61515813267531e-05,3,AC087239.1
CCNL11,2.14240107438302e-09,0.301524594,0.682,0.567,3.59944804507091e-05,3,CCNL1
MYADM,3.65030361566894e-09,0.271374405,0.404,0.261,6.13287510468539e-05,3,MYADM
HIST1H4C,4.69107195192926e-09,0.386309936,0.658,0.494,7.88146998643635e-05,3,HIST1H4C
HSP90AB1,7.35554819705465e-09,0.289059112,0.876,0.808,0.000123581,3,HSP90AB1
OSER1,8.25509146157053e-09,0.323315504,0.28,0.155,0.000138694,3,OSER1
CD551,1.08027800051194e-08,0.31686048,0.489,0.331,0.000181498,3,CD55
BRD2,1.15479290638115e-08,0.288453918,0.505,0.365,0.000194017,3,BRD2
TCF72,1.32536252016808e-08,0.27722015,0.847,0.702,0.000222674,3,TCF7
INTS6,1.46490212004651e-08,0.319093655,0.324,0.195,0.000246118,3,INTS6
TAGAP,2.20810693848127e-08,0.322403536,0.67,0.548,0.000370984,3,TAGAP
SRGN,2.73482974283734e-08,0.26314354,0.573,0.461,0.000459479,3,SRGN
NFKBIZ1,2.86861828703036e-08,0.405231847,0.482,0.354,0.000481957,3,NFKBIZ
CITED2,5.02451060091329e-08,0.426610768,0.534,0.395,0.000844168,3,CITED2
PTGER4,7.37795581319977e-08,0.316309277,0.357,0.246,0.00123957,3,PTGER4
LEPROTL1,8.55027759486777e-08,0.276080891,0.751,0.63,0.001436532,3,LEPROTL1
HSPA5,9.47734314768862e-08,0.278477697,0.567,0.449,0.001592288,3,HSPA5
TUBB4B,1.42023145817098e-07,0.29480405,0.305,0.198,0.002386131,3,TUBB4B
FUS1,1.46720033137624e-07,0.266867316,0.724,0.611,0.002465043,3,FUS
SNHG8,1.76907311254582e-06,0.311981858,0.68,0.528,0.029722197,3,SNHG8
SRSF2,1.88695968514471e-06,0.279602398,0.647,0.548,0.03170281,3,SRSF2
LGALS1,1.53644329292292e-176,2.598467975,0.903,0.239,2.5813783764398e-172,4,LGALS1
S100A41,4.31216303284057e-135,1.691280334,0.994,0.814,7.24486511147544e-131,4,S100A4
SH3BGRL31,1.53606115285297e-115,1.299805875,0.991,0.915,2.58073634290828e-111,4,SH3BGRL3
S100A101,5.70329097218572e-109,1.475712366,0.986,0.77,9.58209916236923e-105,4,S100A10
S100A6,3.28766814997137e-108,1.288082031,0.991,0.873,5.52361125876691e-104,4,S100A6
CRIP11,1.47431688399881e-88,1.315276131,0.989,0.878,2.47699979680641e-84,4,CRIP1
S100A111,2.02790747602402e-81,1.417100678,0.897,0.464,3.40708735046795e-77,4,S100A11
B2M,9.6764073519421e-78,0.638480616,0.997,0.996,1.62573319919979e-73,4,B2M
CD991,1.91143420583187e-69,1.13320009,0.915,0.646,3.21140060921812e-65,4,CD99
TMSB10,1.29538095205876e-66,0.691871701,1,0.983,2.17636953755392e-62,4,TMSB10
CD52,2.84327627797499e-64,1.013541033,0.986,0.882,4.77698847462577e-60,4,CD52
CLIC1,1.86806032221372e-55,1.128105777,0.866,0.515,3.13852814735126e-51,4,CLIC1
COTL11,8.98576008841589e-55,1.102556468,0.906,0.633,1.50969755245475e-50,4,COTL1
EMP3,1.54615476852953e-52,0.986146488,0.943,0.755,2.59769462660646e-48,4,EMP3
IL32,6.15845801891757e-52,0.995233254,0.983,0.896,1.03468253175834e-47,4,IL32
ITGB1,1.51574377622664e-51,1.085178985,0.869,0.436,2.54660111843838e-47,4,ITGB1
ANXA2,3.61953027489434e-50,1.22030914,0.692,0.248,6.08117281484999e-46,4,ANXA2
HLA-DRB1,3.85384030544825e-50,1.560178563,0.473,0.087,6.4748370971836e-46,4,HLA-DRB1
VIM,4.82271470614711e-49,0.814617442,0.983,0.937,8.10264297779776e-45,4,VIM
PFN1,1.28565873041705e-46,0.811567781,0.989,0.946,2.16003523297369e-42,4,PFN1
AHNAK1,1.71654131841351e-45,1.081855828,0.912,0.643,2.88396106906654e-41,4,AHNAK
ANXA11,1.17733069289645e-44,0.987854411,0.889,0.592,1.97803329713532e-40,4,ANXA1
