Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LDHA,0.005472764,0.173223046,0.578,0.508,1
C16orf91,0.005477602,-0.136596105,0.055,0.099,1
C3orf38,0.005488407,-0.154253356,0.042,0.083,1
RPS28,0.005493411,-0.009062431,0.997,0.998,1
MYC,0.005628839,-0.191876893,0.033,0.056,1
OIP5-AS1,0.005653829,-0.03569838,0.14,0.185,1
SLC25A5,0.005703775,0.21334637,0.534,0.483,1
IWS1,0.005908338,-0.172747439,0.081,0.133,1
RSRP1,0.00593484,0.182666206,0.674,0.645,1
RPS9,0.005945441,0.099915545,0.984,0.992,1
NCK2,0.005947879,-0.166012565,0.215,0.279,1
ZNF33B,0.005950295,-0.128890329,0.037,0.075,1
PTGER2,0.00598316,-0.210664778,0.306,0.364,1
RPL37A,0.006000689,0.129943989,0.915,0.922,1
NSMCE4A,0.006038101,-0.04223854,0.161,0.205,1
HMGN1,0.006071877,-0.185504984,0.425,0.489,1
MAPRE2,0.006114339,0.170081446,0.34,0.275,1
RPL36,0.006182908,-0.035654756,0.987,0.995,1
TUBB,0.00618859,0.129963186,0.498,0.427,1
PMPCB,0.006197951,-0.079476083,0.184,0.231,1
SETDB1,0.006270417,-0.103214095,0.06,0.101,1
CAPZB,0.00630304,0.121723926,0.738,0.739,1
SOCS1,0.006344434,0.182237068,0.135,0.088,1
PRPF19,0.006460131,-0.007903323,0.125,0.156,1
RNF145,0.006482274,0.142998507,0.135,0.12,1
FBXO8,0.006506034,-0.136461844,0.024,0.053,1
KLHL9,0.006581921,-0.154210531,0.088,0.126,1
SNX17,0.006596741,-0.07437195,0.261,0.326,1
OPTN,0.006601915,0.091531183,0.344,0.355,1
PPP2R1A,0.006627848,-0.206063611,0.326,0.396,1
FAM3C,0.006662238,-0.049432799,0.049,0.08,1
SNHG30,0.006817643,-0.140584939,0.054,0.097,1
HNRNPAB,0.006890852,0.182845859,0.279,0.242,1
BHLHE40,0.006897134,0.177923096,0.425,0.386,1
SAMHD1,0.006897943,-0.196112689,0.451,0.491,1
SPSB3,0.006944444,-0.162589617,0.479,0.556,1
SS18L2,0.00701966,-0.191256867,0.204,0.271,1
ARL6IP5,0.00702392,-0.172974667,0.686,0.755,1
H2AFZ,0.007072496,0.198358173,0.534,0.475,1
ELF1,0.007205151,-0.140716109,0.339,0.413,1
LIN7C,0.007209411,0.115313349,0.057,0.027,1
TMEM263,0.007242566,-0.101461067,0.077,0.095,1
SRP68,0.007273421,-0.157941228,0.088,0.127,1
MRPS28,0.007275261,-0.152637689,0.049,0.089,1
TRAM1,0.007290295,-0.206162175,0.393,0.451,1
CRYZL1,0.007298254,-0.161860224,0.044,0.084,1
IFT52,0.007372489,-0.011854263,0.075,0.103,1
SPCS2,0.007412129,-0.164843902,0.347,0.43,1
CASP3,0.007415977,-0.101514914,0.039,0.075,1
TFPT,0.007420887,0.175789797,0.114,0.068,1
MT-ND3,0.007632954,-0.092930983,0.935,0.955,1
FCMR,0.007666799,-0.129095968,0.331,0.405,1
SLC25A39,0.007783569,0.179739813,0.223,0.174,1
TM2D1,0.007813903,-0.103114187,0.093,0.136,1
UBE2I,0.007836236,-0.166672095,0.368,0.442,1
MRFAP1L1,0.00799461,-0.193660652,0.176,0.239,1
RPL22L1,0.008027086,-0.077480854,0.402,0.464,1
CLEC2D,0.008068379,-0.20565051,0.461,0.514,1
RPLP1,0.008088096,0.116514142,0.997,1,1
SF3A2,0.008119462,-0.165763665,0.311,0.387,1
ZNF394,0.008176859,-0.18862782,0.233,0.28,1
MTMR6,0.008322594,-0.124589309,0.047,0.087,1
NLRP1,0.008325315,-0.18406093,0.191,0.255,1
MACF1,0.008375621,0.124484096,0.472,0.423,1
ZEB1,0.008434059,-0.100034368,0.041,0.061,1
PRKAG1,0.008507539,-0.169139107,0.068,0.111,1
LRRC59,0.008566521,0.202492135,0.148,0.105,1
MTFP1,0.008569972,-0.151234162,0.091,0.141,1
MRPL19,0.008580779,-0.04951089,0.05,0.078,1
CBFA2T2,0.008584919,-0.125890247,0.062,0.103,1
ITGA4,0.008631986,-0.177908297,0.534,0.598,1
TBC1D23,0.008699937,-0.163018939,0.059,0.099,1
HNRNPC,0.008714594,-0.174045996,0.511,0.593,1
RPS21,0.00874771,-0.021372967,0.989,0.995,1
TBC1D20,0.008809998,-0.073360442,0.116,0.163,1
